model,rho,p_value,null_mean,null_std,z_score,ci_95_low,ci_95_high,q_value_bh,p_value_holm
claude_sonnet,0.8192477940567354,0.0001,-0.00010329740927396498,0.07704887307509022,10.634173593525333,0.7489227637797301,0.8702031894067532,0.0001,0.0006000000000000001
claude_opus,0.7618091496523016,0.0001,0.0012247767023746256,0.07799616137253165,9.751561609771558,0.6828903384252636,0.8220660554687415,0.0001,0.0006000000000000001
gemini_flash,0.7868778305940101,0.0001,0.0009924903672650933,0.08230270634036224,9.548718081963452,0.6942734724752375,0.8557228262350084,0.0001,0.0006000000000000001
gpt_55,0.843204199063704,0.0001,-0.00047414779563239,0.07859734185285583,10.734184222652326,0.7816440975421076,0.8874464201489738,0.0001,0.0006000000000000001
grok,0.7725134050313485,0.0001,-0.00018001432930815804,0.07986050100069604,9.675539342708632,0.6831791094650186,0.8449696126161008,0.0001,0.0006000000000000001
deepseek,0.8226182095975942,0.0001,0.0004066218348996136,0.07793181937206832,10.550396415579963,0.742421269806037,0.8763037078948211,0.0001,0.0006000000000000001
