model,recovery,p_value,null_mean,null_std,z_score,per_question,q_value_bh,p_value_holm
claude_sonnet,0.6408602150537633,0.0001,0.3400873420675401,0.025840166593281613,11.639742023351488,"[0.6, 0.8, 0.6, 1.0, 0.6, 0.6, 0.4, 0.4, 0.8, 0.8, 1.0, 0.6, 1.0, 0.8, 0.4, 0.6, 0.8, 1.0, 0.4, 0.8, 0.2, 0.4, 0.6, 0.4, 0.4, 0.6, 0.4, 0.6, 0.4, 0.6, 0.6, 0.2, 0.6, 0.4, 0.6, 0.4, 0.8, 0.6, 1.0, 0.8, 0.6, 0.8, 0.8, 0.8, 1.0, 0.6, 1.0, 0.6, 0.6, 1.0, 0.8, 0.4, 0.6, 0.6, 0.6, 0.8, 0.8, 0.6, 0.8, 0.8, 1.0, 0.8, 0.8, 0.4, 0.6, 0.6, 0.4, 0.6, 0.4, 0.4, 0.8, 0.6, 0.2, 0.8, 0.2, 0.4, 0.6, 0.6, 0.4, 1.0, 0.4, 0.4, 0.6, 0.8, 0.8, 0.8, 0.8, 0.6, 0.8, 0.8, 0.8, 0.6, 0.6]",0.0001,0.0006000000000000001
claude_opus,0.6258064516129033,0.0001,0.3401340134013402,0.027102979543786605,10.540259522021957,"[0.8, 0.8, 0.6, 1.0, 0.6, 0.8, 0.4, 0.8, 0.6, 0.8, 0.8, 0.8, 1.0, 0.8, 0.6, 0.6, 0.4, 1.0, 0.6, 0.6, 0.2, 0.4, 0.8, 0.4, 0.2, 0.2, 0.4, 0.4, 0.6, 0.6, 0.2, 0.2, 0.8, 0.2, 0.4, 0.6, 0.6, 0.8, 1.0, 0.8, 0.4, 0.6, 0.6, 0.8, 1.0, 0.6, 0.6, 0.8, 0.4, 1.0, 0.8, 0.4, 0.8, 0.8, 0.8, 0.8, 0.6, 0.6, 0.8, 0.4, 1.0, 0.8, 0.8, 0.6, 0.8, 0.6, 0.4, 0.6, 0.8, 0.4, 0.6, 0.4, 0.6, 0.8, 0.6, 0.6, 0.6, 0.6, 0.8, 0.8, 0.6, 0.4, 0.4, 0.2, 0.6, 0.8, 0.6, 0.4, 0.8, 0.6, 0.6, 0.6, 0.6]",0.0001,0.0006000000000000001
gemini_flash,0.6602150537634408,0.0001,0.3399914184966884,0.028185906370286985,11.361126055691638,"[0.8, 0.8, 0.8, 0.8, 0.6, 0.6, 0.2, 0.8, 0.6, 0.8, 0.8, 0.6, 0.8, 0.8, 0.6, 0.4, 0.8, 1.0, 0.4, 0.8, 0.2, 0.4, 1.0, 0.6, 0.6, 0.4, 0.6, 0.8, 0.6, 0.4, 0.6, 0.4, 0.6, 0.8, 0.8, 0.6, 0.4, 0.6, 1.0, 1.0, 0.6, 0.8, 0.8, 0.8, 1.0, 0.6, 0.8, 0.4, 0.6, 1.0, 0.6, 0.4, 0.6, 0.6, 0.8, 0.8, 0.4, 0.4, 0.8, 0.8, 1.0, 1.0, 0.8, 0.8, 0.8, 0.4, 0.6, 0.8, 0.6, 0.4, 0.6, 0.8, 0.6, 0.6, 0.2, 0.4, 0.4, 0.4, 0.6, 0.4, 0.6, 0.4, 0.8, 0.6, 0.8, 0.8, 0.8, 0.6, 1.0, 0.8, 0.6, 0.6, 1.0]",0.0001,0.0006000000000000001
gpt_55,0.6688172043010753,0.0001,0.3396634287084623,0.026745862487060252,12.306717562458822,"[0.6, 1.0, 0.8, 1.0, 0.8, 0.8, 0.6, 0.6, 0.8, 0.8, 0.8, 0.8, 0.6, 1.0, 0.6, 0.8, 0.8, 1.0, 0.4, 0.8, 0.0, 0.4, 1.0, 0.4, 0.6, 0.6, 0.4, 0.8, 0.6, 0.6, 0.2, 0.4, 0.8, 0.4, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.2, 0.8, 0.8, 1.0, 1.0, 0.6, 0.6, 0.8, 0.4, 1.0, 1.0, 0.4, 0.6, 0.6, 0.6, 0.6, 0.8, 0.8, 1.0, 0.6, 1.0, 0.8, 0.6, 0.8, 0.8, 0.2, 0.4, 0.2, 0.6, 0.2, 0.6, 0.4, 0.6, 0.8, 0.6, 0.6, 0.6, 1.0, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.8, 0.8, 0.8, 1.0, 0.6, 0.6, 0.6, 0.8]",0.0001,0.0006000000000000001
grok,0.6408602150537633,0.0001,0.33998453608801743,0.02683573964170474,11.211752796191341,"[0.6, 0.8, 0.6, 0.8, 0.6, 0.6, 0.6, 0.6, 0.8, 0.8, 0.8, 0.6, 0.6, 0.8, 0.4, 0.4, 0.8, 1.0, 0.4, 0.8, 0.2, 0.6, 0.6, 0.6, 0.4, 0.2, 0.4, 0.4, 0.6, 0.6, 0.8, 0.6, 0.8, 0.6, 0.6, 0.4, 0.6, 0.6, 1.0, 0.8, 0.4, 0.8, 0.8, 0.8, 1.0, 0.6, 0.8, 0.6, 0.6, 1.0, 1.0, 0.4, 0.8, 0.8, 0.8, 0.8, 0.8, 0.6, 0.8, 0.4, 1.0, 0.8, 0.6, 0.6, 0.8, 0.4, 0.6, 0.6, 1.0, 0.4, 0.4, 0.4, 0.6, 0.6, 0.6, 0.2, 0.4, 0.6, 0.6, 0.8, 0.2, 0.4, 0.8, 0.8, 0.6, 0.8, 0.6, 0.8, 0.8, 0.6, 0.8, 0.6, 0.4]",0.0001,0.0006000000000000001
deepseek,0.6516129032258063,0.0001,0.34002066873354003,0.025598058533530373,12.172494804014844,"[0.6, 0.8, 0.6, 0.6, 0.8, 0.8, 0.6, 0.6, 0.4, 0.8, 1.0, 0.4, 0.8, 0.8, 0.8, 0.6, 0.8, 1.0, 0.4, 0.8, 0.2, 0.0, 1.0, 0.4, 0.6, 0.8, 0.8, 0.6, 0.6, 0.2, 0.4, 0.2, 0.6, 0.4, 0.8, 0.6, 0.6, 0.6, 1.0, 0.8, 0.6, 0.8, 0.6, 0.8, 1.0, 0.4, 0.8, 0.6, 0.4, 1.0, 0.8, 0.4, 0.8, 0.6, 0.6, 0.6, 0.6, 0.6, 0.8, 0.6, 1.0, 0.8, 0.6, 0.8, 1.0, 0.6, 0.6, 0.4, 0.6, 0.6, 0.8, 0.6, 0.4, 0.6, 0.4, 0.6, 0.6, 0.6, 0.8, 0.6, 0.4, 0.8, 0.6, 0.6, 0.6, 0.8, 0.6, 0.8, 1.0, 0.8, 0.8, 0.4, 0.8]",0.0001,0.0006000000000000001
