model,standardized_consensus_beta,topic_only_r_squared,full_r_squared,incremental_r_squared,p_value,null_beta_mean,null_beta_std,z_score,beta_ci_95_low,beta_ci_95_high,incremental_r2_ci_95_low,incremental_r2_ci_95_high,q_value_bh,p_value_holm
claude_sonnet,0.8244699257701612,0.012837571768335998,0.6778044498107235,0.6649668780423875,0.0001,-0.00010262871767668598,0.08190727917821905,10.067146201910585,0.7561475683382113,0.8752115901915615,0.5577479657709268,0.7455232914990524,0.0001,0.0006000000000000001
claude_opus,0.768043799032855,0.008545467330577594,0.5848686117664972,0.5763231444359196,0.0001,0.0009286631542502593,0.08182405324801614,9.375178879899888,0.6973139298358175,0.8216507486174749,0.4708746460159489,0.6535690801829295,0.0001,0.0006000000000000001
gemini_flash,0.7877118144836097,0.01693793380595554,0.6247878280432619,0.6078498942373064,0.0001,0.0009679774218516882,0.08550416068067924,9.201234545765594,0.7030720308986926,0.8604481388088511,0.4781070385285319,0.7184338882669974,0.0001,0.0006000000000000001
gpt_55,0.8437521915177101,0.02995208246159453,0.7288717649411243,0.6989196824795297,0.0001,-0.0003227630052040079,0.08352373273843748,10.105809772250185,0.787221098658479,0.8906811828950829,0.6010182262854409,0.7708501132716399,0.0001,0.0006000000000000001
grok,0.7951002145230343,0.012194173821700627,0.630587311785398,0.6183931379636973,0.0001,-8.836767531333275e-05,0.0849599572640617,9.359568999391605,0.7124621548915513,0.8574669329610036,0.49279034877341715,0.7150944831119025,0.0001,0.0006000000000000001
deepseek,0.8321006708979367,0.0223892275685863,0.7012860603976777,0.6788968328290914,0.0001,0.0006519845052139334,0.08199398076726956,10.140362482859489,0.7649598141773559,0.8782436649722821,0.5642648879431044,0.7532045569268582,0.0001,0.0006000000000000001
