check,mean_held_out_rho,min_held_out_rho,max_held_out_rho,rho_relative_to_primary,held_out_rhos,description,question_subspace_rank,omitted_question_id
exact paired-question projection,0.8010450979992823,0.7618091496523016,0.843204199063704,1.0,"{""claude_sonnet"": 0.8192477940567354, ""claude_opus"": 0.7618091496523016, ""gemini_flash"": 0.7868778305940101, ""gpt_55"": 0.843204199063704, ""grok"": 0.7725134050313485, ""deepseek"": 0.8226182095975942}","Primary transformation, strength=1.0.",,
remove full question row-span,0.6065924693944551,0.5698840342992169,0.647363446210287,0.7572513344248674,"{""claude_sonnet"": 0.647363446210287, ""claude_opus"": 0.5698840342992169, ""gemini_flash"": 0.5744495121332299, ""gpt_55"": 0.6340838549989111, ""grok"": 0.5898129176443703, ""deepseek"": 0.6239610510807158}",Projects every answer away from the complete 93-question linear span before normalization.,93,
remove model answer centroid then paired projection,0.7181529303792832,0.6242840318203903,0.7682220901509033,0.8965199739352586,"{""claude_sonnet"": 0.704868502386576, ""claude_opus"": 0.7682220901509033, ""gemini_flash"": 0.6242840318203903, ""gpt_55"": 0.7622602565716128, ""grok"": 0.7094395717726762, ""deepseek"": 0.7398431295735407}",Removes each model's common answer-centroid direction before exact paired-question projection.,,
omit question 37 generation outlier,0.8019361779445963,0.7606424790834926,0.846391534088124,1.00111239672715,"{""claude_sonnet"": 0.8188800722686406, ""claude_opus"": 0.7606424790834926, ""gemini_flash"": 0.7875141021219548, ""gpt_55"": 0.846391534088124, ""grok"": 0.7736146764158526, ""deepseek"": 0.8245742036895126}","Drops the 21,106-character Gemini generation and the matching question from all model views.",,37
