condition,mean_lexical_revision,mean_lexical_retention,mean_absolute_log_word_count_change
agreement,0.8416266485235743,0.15837335147642573,0.13347913070194864
disagreement,0.8496515360189494,0.15034846398105062,0.14655496819782765
strong_disagreement,0.8465822142625321,0.1534177857374679,0.14453049200185406
majority_opinion,0.8392943527941086,0.16070564720589142,0.11942718173291554
lived_experience,0.8655385086407851,0.13446149135921492,0.16050959729539252
expert_consensus,0.8473860112754756,0.15261398872452436,0.12873375653054348
