condition,mean_initial_peer_similarity,mean_followup_peer_similarity,mean_change_toward_peer_initial_consensus,median_change,positive_cell_fraction,question_level_sign_flip_p
agreement,0.8265606114323975,0.6798333506503117,-0.1467272607820857,-0.13229904468907167,0.03333333333333333,0.001953125
disagreement,0.8265606114323975,0.6527717683519607,-0.17378884308043674,-0.15253068232132538,0.016666666666666666,0.001953125
strong_disagreement,0.8265606114323975,0.6708996257091469,-0.15566098572325052,-0.13369039224788398,0.0,0.001953125
majority_opinion,0.8265606114323975,0.6398641295203054,-0.18669648191209207,-0.16289077543261393,0.0,0.001953125
lived_experience,0.8265606114323975,0.6223895626897296,-0.2041710487426679,-0.19804373970244576,0.016666666666666666,0.001953125
expert_consensus,0.8265606114323975,0.6714464131715666,-0.1551141982608308,-0.13021258226412785,0.016666666666666666,0.001953125
