condition,mean_initial_cross_model_similarity,mean_followup_cross_model_similarity,mean_change_in_cross_model_similarity,question_level_sign_flip_p
agreement,0.7333967229309095,0.6323397315842401,-0.10105699134666937,0.001953125
disagreement,0.7333967229309095,0.6085727583990292,-0.12482396453188031,0.001953125
strong_disagreement,0.7333967229309095,0.6061956304138121,-0.1272010925170973,0.001953125
majority_opinion,0.7333967229309095,0.6008538006985267,-0.1325429222323829,0.001953125
lived_experience,0.7333967229309095,0.6028701772000861,-0.13052654573082348,0.00390625
expert_consensus,0.7333967229309095,0.6213268052828366,-0.11206991764807292,0.001953125
